;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment Creation/Booking Date (Year);Shipment Creation/Booking Date (Year/Month);Shipment Creation/Booking Date (Day);Link to myKN Track;Invoice Numbers;KN Origin Reference;Shipment Tracking Number;HBL/HAWB/COMMREF;MAWB/OBL/MANIFEST#;ABO;Origin Office Location Code;Origin Office Country Code;Destination Office Location Code;Destination Office Country Code;Shipper Name;Shipper Street;Shipper ZIP Code;Shipper City;Shipper Country;Shipper Country / UN Code;Consignee Name;Consignee Street;Consignee ZIP Code;Consignee City;Consignee Country;Consignee Country / UN Code;Delivery Terms;Delivery Terms (Location);Mode of Transport;Shipment Type;Carrier Code (SCAC);Flight / Vessel;Departure;Departure (UN Code);Departure (Country UN Code);Destination;Destination (UN Code);Destination (Country UN Code);Container Movement Code;Container Types;Container Number(s);No of TEU;No of 20 ft;No of 40 ft;No of 40 ft HC;No of 45 ft;Volume (m3);Gross weight (kgs);Chargeable Weight (kgs);Packages;Spend in EUR;Spend per TEU;Spend per m3;Spend per kg;Spend per chargeable kg - Air only;Spend per package;Status 0100 / Booking date;Status 0300 / Ready at Supplier;Status 0500 / Pick up date;Status 1000 / Received at KN origin;Status 1065 / Container at CY;Status 1300 / Departure date;Status 1400 / Arrival date;Status 1405 Container Discharged (Sea) / Checked in Carrier (Air);Status 1600 / Customs clearance date;Status 2210 / Released to 3rd party;Status 3000 / Delivery date;Latest Process Name;Latest Sts Code of Latest Process;Latest Sts Name of Latest Process
2024;2024/01;03/01/2024;Link Expired;I24012206843;1000-0000-000.000;RWM003047437;0933625688675;;A230532;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;GREEN AQUA;THAN KAROLY STREET 23-25;1119;BUDAPEST;HUNGARY;HU;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Budapest;;HU;N/A;;;0;0;0;0;0;1,44;250,00;;1;161,65;;112,26;0,65;;161,65;;;;;;08/01/2024;11/01/2024;;;;15/01/2024;Delivered/Closed;3000;Delivered to Consignee OK
2024;2024/01;05/01/2024;Link Expired;I24012202895;2220-7018-401.053-02;RWM003058125;0933625691043;;A230468;ESBCN;ES;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;AQUASCAPE.CZ;HOŠŤÁLKOVA 1950/27;169 00;PRAGUE;CZECH REPUBLIC;CZ;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Prague;;CZ;N/A;;;0;0;0;0;0;1,68;705,00;;1;185,00;;110,12;0,26;;185;;;10/01/2024;10/01/2024;;11/01/2024;12/01/2024;;;;15/01/2024;Delivered/Closed;3060;POD Available
2024;2024/01;08/01/2024;Link Expired;I24012205520;1000-0000-000.000;RWM003069912;0933625693523;;A230484;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;UNIMATI APS;Paderupvej 24;8960;RANDERS SOE;DENMARK;DK;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Randers Soe;;DK;N/A;;;0;0;0;0;0;1,82;1.190,00;;1;326,76;;179,14;0,27;;326,76;;;;;;18/01/2024;18/01/2024;;;;19/01/2024;Delivered/Closed;3060;POD Available
2024;2024/01;08/01/2024;Link Expired;I24012206844;1000-0000-000.000;5011465571;2033625690208;;;NLRTM;NL;#####;##;KAMASKLO;VYSOKÉ MÝTO DRÁBY 890;566 01;VYSOKE MYTO-MESTO;CZECH REPUBLIC;CZ;Avenlux Almacen;C/ de la Cierva 9;08184;PALAU-SOLITÀ I PLEGAMANS;SPAIN;ES;EXW;;Road;Road Shipment (house);;;Vysoke Myto-mesto;;CZ;Palau-solità I Plegamans;;ES;N/A;;;0;0;0;0;0;6,91;1.000,00;;4;498,74;;72,16;0,50;;124,685;08/01/2024;08/01/2024;09/01/2024;;;10/01/2024;15/01/2024;;;;16/01/2024;Delivered/Closed;3060;POD Available
2024;2024/01;11/01/2024;Link Expired;I24012206840;1000-0000-000.000;RWM003090503;0933625693530;;123445;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;NATTEC - WHOLESALE OF AQUARIUM;WROCŁAWSKA 33D;55-220;MILOSZYCE;POLAND;PL;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Miloszyce;;PL;N/A;;;0;0;0;0;0;1,73;880,00;;1;200,75;;116,17;0,23;;200,75;;;;;;16/01/2024;18/01/2024;;;;19/01/2024;Delivered/Closed;3060;POD Available
2024;2024/01;11/01/2024;Link Expired;I24012206845;1000-0000-000.000;RWM003090469;0933625693516;;2345667;NLRTM;NL;DEOLO;DE;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;ZOOBOX.DE;ELBERFELDER STRASSE 102;42853;REMSCHEID;GERMANY;DE;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Remscheid;;DE;N/A;;;0;0;0;0;0;3,65;1.450,00;;2;279,45;;76,60;0,19;;139,725;;;;;;16/01/2024;19/01/2024;;;;;Delivered/Closed;3060;POD Available
2024;2024/01;16/01/2024;Link Expired;I24012206846;1000-0000-000.000;RWM003110246;;;A240001;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;NATTEC - WHOLESALE OF AQUARIUM;WROCŁAWSKA 33D;55-220;MILOSZYCE;POLAND;PL;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Miloszyce;;PL;N/A;;;0;0;0;0;0;0,38;118,00;;1;82,63;;215,18;0,70;;82,63;;;;;;20/01/2024;24/01/2024;;;;24/01/2024;Delivered/Closed;3060;POD Available
2024;2024/01;24/01/2024;Link Expired;I24012206778;1000-0000-000.000;RWM003143166;0933625700464;;A230537;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;AQUAZEN;TORVEGADE 95 ESBJERG 6700 DK;6700;ESBJERG;DENMARK;DK;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Esbjerg;;DK;N/A;;;0;0;0;0;0;1,63;683,00;;1;218,98;;134,18;0,32;;218,98;;;;;;01/02/2024;01/02/2024;;;;02/02/2024;Delivered/Closed;3060;POD Available
2024;2024/01;25/01/2024;Link Expired;I24012206779;1000-0000-000.000;RWM003156696;0933625701210;;INLEDCO;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;INLEDCO GMBH;SÜRTHER STRASSE 300;50999;KÖLN;GERMANY;DE;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Köln;;DE;N/A;;;0;0;0;0;0;0,58;109,00;;1;68,75;;119,36;0,63;;68,75;;;;;;30/01/2024;26/01/2024;;;;01/02/2024;Delivered/Closed;3000;Delivered to Consignee OK
2024;2024/01;25/01/2024;Link Expired;I24012206780;1000-0000-000.000;RWM003150058;0933625700487;;;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;UNIMATI APS;Paderupvej 24;8960;RANDERS SOE;DENMARK;DK;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Randers Soe;;DK;N/A;;;0;0;0;0;0;1,44;510,00;;1;193,01;;134,03;0,38;;193,01;;;;;;01/02/2024;01/02/2024;;;;02/02/2024;Delivered/Closed;3060;POD Available
